MES;SEMANA;MES;DATE;RUNNING_HOURS
10;43;Octubre 2020;21/10/2020;24
10;43;Octubre 2020;22/10/2020;24
10;43;Octubre 2020;23/10/2020;24
10;43;Octubre 2020;24/10/2020;21
10;43;Octubre 2020;25/10/2020;0
10;44;Octubre 2020;26/10/2020;16
10;44;Octubre 2020;27/10/2020;24
10;44;Octubre 2020;28/10/2020;24
10;44;Octubre 2020;29/10/2020;24
10;44;Octubre 2020;30/10/2020;24
10;44;Octubre 2020;31/10/2020;14
11;44;Noviembre 2020;01/11/2020;0
11;45;Noviembre 2020;02/11/2020;0
11;45;Noviembre 2020;03/11/2020;0
11;45;Noviembre 2020;04/11/2020;16
11;45;Noviembre 2020;05/11/2020;24
11;45;Noviembre 2020;06/11/2020;21
11;45;Noviembre 2020;07/11/2020;0
11;45;Noviembre 2020;08/11/2020;0
11;46;Noviembre 2020;09/11/2020;10
11;46;Noviembre 2020;10/11/2020;24
11;46;Noviembre 2020;11/11/2020;24
11;46;Noviembre 2020;12/11/2020;24
11;46;Noviembre 2020;13/11/2020;0
11;46;Noviembre 2020;14/11/2020;0
11;46;Noviembre 2020;15/11/2020;0
11;47;Noviembre 2020;16/11/2020;0
11;47;Noviembre 2020;17/11/2020;20
11;47;Noviembre 2020;18/11/2020;24
11;47;Noviembre 2020;19/11/2020;24
11;47;Noviembre 2020;20/11/2020;24
11;47;Noviembre 2020;21/11/2020;21
11;47;Noviembre 2020;22/11/2020;0
11;48;Noviembre 2020;23/11/2020;16
11;48;Noviembre 2020;24/11/2020;24
11;48;Noviembre 2020;25/11/2020;24
11;48;Noviembre 2020;26/11/2020;24
11;48;Noviembre 2020;27/11/2020;24
11;48;Noviembre 2020;28/11/2020;24
11;48;Noviembre 2020;29/11/2020;8
11;49;Noviembre 2020;30/11/2020;24
12;49;Diciembre 2020;01/12/2020;24
12;49;Diciembre 2020;02/12/2020;24
12;49;Diciembre 2020;03/12/2020;24
12;49;Diciembre 2020;04/12/2020;24
12;49;Diciembre 2020;05/12/2020;21
12;49;Diciembre 2020;06/12/2020;0
12;50;Diciembre 2020;07/12/2020;16
12;50;Diciembre 2020;08/12/2020;24
12;50;Diciembre 2020;09/12/2020;24
12;50;Diciembre 2020;10/12/2020;24
12;50;Diciembre 2020;11/12/2020;24
12;50;Diciembre 2020;12/12/2020;6
12;50;Diciembre 2020;13/12/2020;6
12;51;Diciembre 2020;14/12/2020;24
12;51;Diciembre 2020;15/12/2020;24
12;51;Diciembre 2020;16/12/2020;24
12;51;Diciembre 2020;17/12/2020;24
12;51;Diciembre 2020;18/12/2020;24
12;51;Diciembre 2020;19/12/2020;24
12;51;Diciembre 2020;20/12/2020;6
12;52;Diciembre 2020;21/12/2020;24
12;52;Diciembre 2020;22/12/2020;24
12;52;Diciembre 2020;23/12/2020;21
12;52;Diciembre 2020;24/12/2020;0
12;52;Diciembre 2020;25/12/2020;0
12;52;Diciembre 2020;26/12/2020;0
12;52;Diciembre 2020;27/12/2020;0
12;53;Diciembre 2020;28/12/2020;0
12;53;Diciembre 2021;29/12/2020;0
12;53;Diciembre 2022;30/12/2020;0
12;53;Diciembre 2023;31/12/2020;0
